code_dept_commune,code_departement,code_commune_INSEE,nom_commune,nb_arrets
75-75056,75,75056,Paris,7090
63-63113,63,63113,Clermont-Ferrand,3011
44-44109,44,44109,Nantes,2868
13-13055,13,13055,Marseille,2809
06-06088,06,06088,Nice,2595
31-31555,31,31555,Toulouse,2388
37-37261,37,37261,Tours,2342
72-72181,72,72181,Mans,2304
76-76351,76,76351,Havre,2143
06-06069,06,06069,Grasse,2115
69-69123,69,69123,Lyon,2109
35-35238,35,35238,Rennes,2087
29-29019,29,29019,Brest,1996
18-18033,18,18033,Bourges,1938
14-14118,14,14118,Caen,1845
45-45234,45,45234,Orléans,1781
53-53130,53,53130,Laval,1681
29-29232,29,29232,Quimper,1669
44-44184,44,44184,Saint-Nazaire,1460
76-76540,76,76540,Rouen,1380
33-33063,33,33063,Bordeaux,1344
85-85191,85,85191,Roche-sur-Yon,1335
80-80021,80,80021,Amiens,1331
49-49099,49,49099,Cholet,1293
13-13001,13,13001,Aix-en-Provence,1280
41-41018,41,41018,Blois,1251
50-50129,50,50129,Cherbourg-en-Cotentin,1219
30-30007,30,30007,Alès,1088
74-74010,74,74010,Annecy,1047
49-49007,49,49007,Angers,1031
25-25056,25,25056,Besançon,1028
87-87085,87,87085,Limoges,1023
34-34172,34,34172,Montpellier,999
82-82121,82,82121,Montauban,996
56-56121,56,56121,Lorient,963
28-28085,28,28085,Chartres,956
56-56260,56,56260,Vannes,946
47-47001,47,47001,Agen,936
68-68224,68,68224,Mulhouse,934
10-10387,10,10387,Troyes,922
28-28134,28,28134,Dreux,917
26-26198,26,26198,Montélimar,916
36-36044,36,36044,Châteauroux,900
35-35288,35,35288,Saint-Malo,890
30-30189,30,30189,Nîmes,885
22-22278,22,22278,Saint-Brieuc,884
64-64102,64,64102,Bayonne,876
18-18279,18,18279,Vierzon,863
56-56101,56,56101,Languidic,849
64-64024,64,64024,Anglet,838
51-51454,51,51454,Reims,828
42-42218,42,42218,Saint-Étienne,827
44-44162,44,44162,Saint-Herblain,826
56-56078,56,56078,Guidel,819
67-67482,67,67482,Strasbourg,811
03-03185,03,03185,Montluçon,810
86-86194,86,86194,Poitiers,783
27-27229,27,27229,Évreux,783
33-33281,33,33281,Mérignac,768
06-06029,06,06029,Cannes,721
17-17415,17,17415,Saintes,708
45-45004,45,45004,Amilly,702
37-37122,37,37122,Joué-lès-Tours,686
84-84007,84,84007,Avignon,680
38-38185,38,38185,Grenoble,677
83-83137,83,83137,Toulon,676
76-76217,76,76217,Dieppe,674
59-59350,59,59350,Lille,673
02-02722,02,02722,Soissons,673
33-33318,33,33318,Pessac,666
13-13004,13,13004,Arles,657
81-81004,81,81004,Albi,651
64-64122,64,64122,Biarritz,646
66-66136,66,66136,Perpignan,634
63-63124,63,63124,Cournon-d'Auvergne,626
21-21231,21,21231,Dijon,625
17-17300,17,17300,Rochelle,619
56-56036,56,56036,Caudan,612
44-44129,44,44129,Pontchâteau,606
57-57463,57,57463,Metz,606
44-44143,44,44143,Rezé,603
14-14366,14,14366,Lisieux,591
74-74281,74,74281,Thonon-les-Bains,588
06-06004,06,06004,Antibes,588
44-44015,44,44015,Blain,576
86-86066,86,86066,Châtellerault,576
27-27681,27,27681,Vernon,573
11-11262,11,11262,Narbonne,571
34-34032,34,34032,Béziers,571
67-67180,67,67180,Haguenau,570
45-45147,45,45147,Fleury-les-Aubrais,560
54-54395,54,54395,Nancy,556
44-44052,44,44052,Donges,555
62-62193,62,62193,Calais,546
64-64445,64,64445,Pau,546
56-56098,56,56098,Lanester,541
49-49307,49,49307,Loire-Authion,536
2A-2A004,2A,2A004,Ajaccio,536
49-49328,49,49328,Saumur,532
38-38053,38,38053,Bourgoin-Jallieu,532
44-44131,44,44131,Pornic,517
22-22171,22,22171,Plaintel,513
44-44158,44,44158,Saint-Étienne-de-Montluc,506
56-56162,56,56162,Ploemeur,498
68-68066,68,68066,Colmar,496
55-55545,55,55545,Verdun,492
79-79191,79,79191,Niort,491
47-47031,47,47031,Boé,490
85-85234,85,85234,Saint-Jean-de-Monts,485
07-07010,07,07010,Annonay,481
49-49018,49,49018,Baugé-en-Anjou,478
13-13056,13,13056,Martigues,469
62-62041,62,62041,Arras,468
45-45208,45,45208,Montargis,465
44-44215,44,44215,Vertou,464
56-56040,56,56040,Cléguer,464
78-78646,78,78646,Versailles,462
45-45232,45,45232,Olivet,461
73-73008,73,73008,Aix-les-Bains,459
11-11069,11,11069,Carcassonne,457
37-37050,37,37050,Chambray-lès-Tours,456
33-33449,33,33449,Saint-Médard-en-Jalles,452
45-45302,45,45302,Saran,452
44-44114,44,44114,Orvault,450
26-26362,26,26362,Valence,447
57-57631,57,57631,Sarreguemines,447
06-06083,06,06083,Menton,446
63-63075,63,63075,Chamalières,442
06-06027,06,06027,Cagnes-sur-Mer,441
16-16015,16,16015,Angoulême,440
45-45284,45,45284,Saint-Jean-de-Braye,439
44-44154,44,44154,Saint-Brevin-les-Pins,436
76-76575,76,76575,Saint-Étienne-du-Rouvray,436
44-44188,44,44188,Saint-Philbert-de-Grand-Lieu,435
37-37214,37,37214,Saint-Cyr-sur-Loire,430
49-49331,49,49331,Segré-en-Anjou Bleu,429
59-59178,59,59178,Douai,426
22-22187,22,22187,Plérin,426
44-44073,44,44073,Héric,426
27-27375,27,27375,Louviers,425
08-08105,08,08105,Charleville-Mézières,422
37-37208,37,37208,Saint-Avertin,422
65-65440,65,65440,Tarbes,422
44-44213,44,44213,Loireauxence,422
85-85194,85,85194,Sables-d'Olonne,421
44-44132,44,44132,Pornichet,419
69-69290,69,69290,Saint-Priest,419
44-44128,44,44128,Plessé,414
73-73065,73,73065,Chambéry,414
56-56166,56,56166,Plouay,412
63-63430,63,63430,Thiers,410
76-76231,76,76231,Elbeuf,409
35-35115,35,35115,Fougères,408
63-63284,63,63284,Pont-du-Château,408
85-85109,85,85109,Herbiers,407
59-59183,59,59183,Dunkerque,407
35-35051,35,35051,Cesson-Sévigné,406
17-17306,17,17306,Royan,405
44-44190,44,44190,Saint-Sébastien-sur-Loire,403
34-34301,34,34301,Sète,401
88-88160,88,88160,Épinal,399
95-95018,95,95018,Argenteuil,399
45-45068,45,45068,Châlette-sur-Loing,397
44-44026,44,44026,Carquefou,396
56-56083,56,56083,Hennebont,396
83-83069,83,83069,Hyères,395
28-28280,28,28280,Nogent-le-Rotrou,393
85-85060,85,85060,Château-d'Olonne,390
44-44212,44,44212,Vallet,388
44-44110,44,44110,Nort-sur-Erdre,386
63-63014,63,63014,Aubière,384
28-28404,28,28404,Vernouillet,384
76-76157,76,76157,Canteleu,383
92-92050,92,92050,Nanterre,381
60-60057,60,60057,Beauvais,381
76-76322,76,76322,Grand-Quevilly,381
64-64260,64,64260,Hendaye,380
19-19031,19,19031,Brive-la-Gaillarde,379
37-37233,37,37233,Saint-Pierre-des-Corps,379
83-83061,83,83061,Fréjus,379
69-69266,69,69266,Villeurbanne,377
93-93066,93,93066,Saint-Denis,374
49-49248,49,49248,Ombrée d'Anjou,372
89-89024,89,89024,Auxerre,372
44-44067,44,44067,Guémené-Penfao,370
83-83116,83,83116,Saint-Maximin-la-Sainte-Baume,369
81-81065,81,81065,Castres,368
59-59512,59,59512,Roubaix,367
47-47100,47,47100,Foulayronnes,366
58-58194,58,58194,Nevers,366
64-64483,64,64483,Saint-Jean-de-Luz,362
93-93005,93,93005,Aulnay-sous-Bois,361
40-40312,40,40312,Tarnos,361
69-69259,69,69259,Vénissieux,360
59-59009,59,59009,Villeneuve-d'Ascq,360
41-41269,41,41269,Vendôme,360
22-22215,22,22215,Ploufragan,359
45-45338,45,45338,Villemandeur,359
83-83050,83,83050,Draguignan,358
44-44217,44,44217,Vigneux-de-Bretagne,357
74-74056,74,74056,Chamonix-Mont-Blanc,356
14-14327,14,14327,Hérouville-Saint-Clair,355
22-22251,22,22251,Pordic,352
56-56090,56,56090,Inzinzac-Lochrist,352
33-33003,33,33003,Ambarès-et-Lagrave,352
13-13005,13,13005,Aubagne,351
76-76447,76,76447,Montivilliers,349
44-44055,44,44055,Baule-Escoublac,349
33-33243,33,33243,Libourne,349
63-63307,63,63307,Romagnat,348
44-44035,44,44035,Chapelle-sur-Erdre,347
44-44041,44,44041,Chevrolière,347
85-85166,85,85166,Olonne-sur-Mer,347
57-57672,57,57672,Thionville,346
51-51108,51,51108,Châlons-en-Champagne,346
44-44025,44,44025,Campbon,344
22-22113,22,22113,Lannion,344
22-22176,22,22176,Plédran,343
27-27701,27,27701,Val-de-Reuil,343
56-56193,56,56193,Riantec,342
44-44209,44,44209,Treillières,342
13-13103,13,13103,Salon-de-Provence,341
29-29151,29,29151,Morlaix,340
44-44036,44,44036,Châteaubriant,340
44-44130,44,44130,Pont-Saint-Martin,338
69-69034,69,69034,Caluire-et-Cuire,338
02-02691,02,02691,Saint-Quentin,337
59-59599,59,59599,Tourcoing,334
29-29150,29,29150,Moëlan-sur-Mer,334
41-41295,41,41295,Vineuil,333
63-63063,63,63063,Cébazat,332
63-63263,63,63263,Orcines,332
44-44056,44,44056,Fay-de-Bretagne,330
26-26281,26,26281,Romans-sur-Isère,329
38-38563,38,38563,Voiron,328
44-44021,44,44021,Villeneuve-en-Retz,328
72-72003,72,72003,Allonnes,328
76-76451,76,76451,Mont-Saint-Aignan,328
56-56185,56,56185,Quéven,328
40-40192,40,40192,Mont-de-Marsan,327
37-37003,37,37003,Amboise,326
29-29233,29,29233,Quimperlé,326
85-85084,85,85084,Essarts en Bocage,324
44-44098,44,44098,Missillac,324
85-85178,85,85178,Poiré-sur-Vie,323
72-72264,72,72264,Sablé-sur-Sarthe,322
06-06084,06,06084,Mouans-Sartoux,322
44-44081,44,44081,Legé,322
85-85090,85,85090,Sèvremont,322
92-92012,92,92012,Boulogne-Billancourt,320
44-44179,44,44179,Saint-Mars-du-Désert,319
44-44029,44,44029,Divatte-sur-Loire,319
28-28218,28,28218,Lucé,317
33-33550,33,33550,Villenave-d'Ornon,317
27-27016,27,27016,Andelys,317
49-49050,49,49050,Brissac Loire Aubance,317
21-21054,21,21054,Beaune,316
44-44013,44,44013,Besné,315
44-44068,44,44068,Guenrouet,315
44-44005,44,44005,Chaumes-en-Retz,313
47-47069,47,47069,Colayrac-Saint-Cirq,312
15-15014,15,15014,Aurillac,311
43-43157,43,43157,Puy-en-Velay,309
40-40088,40,40088,Dax,309
29-29051,29,29051,Ergué-Gabéric,308
47-47032,47,47032,Bon-Encontre,308
06-06123,06,06123,Saint-Laurent-du-Var,307
83-83118,83,83118,Saint-Raphaël,307
62-62160,62,62160,Boulogne-sur-Mer,307
29-29020,29,29020,Briec,306
63-63032,63,63032,Beaumont,306
44-44020,44,44020,Bouguenais,306
50-50218,50,50218,Granville,302
85-85288,85,85288,Talmont-Saint-Hilaire,299
84-84031,84,84031,Carpentras,299
44-44084,44,44084,Loroux-Bottereau,299
44-44169,44,44169,Saint-Julien-de-Concelles,298
38-38422,38,38422,Saint-Martin-d'Uriage,297
37-37109,37,37109,Fondettes,297
44-44045,44,44045,Cordemais,297
29-29039,29,29039,Concarneau,296
44-44201,44,44201,Sucé-sur-Erdre,295
44-44180,44,44180,Vallons-de-l'Erdre,295
07-07019,07,07019,Aubenas,295
44-44047,44,44047,Couëron,294
69-69282,69,69282,Meyzieu,293
76-76561,76,76561,Saint-Aubin-lès-Elbeuf,293
44-44087,44,44087,Machecoul-Saint-Même,293
06-06085,06,06085,Mougins,292
44-44103,44,44103,Montoir-de-Bretagne,292
49-49228,49,49228,Noyant-Villages,290
01-01053,01,01053,Bourg-en-Bresse,289
44-44066,44,44066,Grandchamps-des-Fontaines,289
38-38544,38,38544,Vienne,287
32-32013,32,32013,Auch,287
17-17299,17,17299,Rochefort,286
63-63345,63,63345,Saint-Genès-Champanelle,286
03-03101,03,03101,Domérat,286
38-38225,38,38225,Autrans-Méaudre en Vercors,286
13-13028,13,13028,Ciotat,284
63-63070,63,63070,Ceyrat,284
44-44210,44,44210,Trignac,284
69-69256,69,69256,Vaulx-en-Velin,284
44-44195,44,44195,Savenay,283
54-54547,54,54547,Vandœuvre-lès-Nancy,282
76-76305,76,76305,Gonfreville-l'Orcher,282
45-45285,45,45285,Saint-Jean-de-la-Ruelle,281
47-47201,47,47201,Passage,277
44-44216,44,44216,Vieillevigne,277
36-36088,36,36088,Issoudun,277
44-44023,44,44023,Bouvron,276
45-45169,45,45169,Ingré,276
92-92063,92,92063,Rueil-Malmaison,276
93-93073,93,93073,Tremblay-en-France,275
29-29075,29,29075,Guipavas,275
94-94028,94,94028,Créteil,274
14-14437,14,14437,Mondeville,274
13-13117,13,13117,Vitrolles,273
2B-2B033,2B,2B033,Bastia,273
44-44187,44,44187,Saint-Père-en-Retz,273
33-33249,33,33249,Lormont,272
22-22106,22,22106,Langueux,272
44-44149,44,44149,Saffré,272
76-76681,76,76681,Sotteville-lès-Rouen,272
90-90010,90,90010,Belfort,271
92-92002,92,92002,Antony,271
77-77108,77,77108,Chelles,270
56-56178,56,56178,Pontivy,269
88-88413,88,88413,Saint-Dié-des-Vosges,269
85-85226,85,85226,Saint-Hilaire-de-Riez,269
24-24322,24,24322,Périgueux,268
10-10081,10,10081,Chapelle-Saint-Luc,267
95-95127,95,95127,Cergy,266
44-44028,44,44028,Cellier,266
91-91377,91,91377,Massy,266
53-53201,53,53201,Saint-Berthevin,266
91-91174,91,91174,Corbeil-Essonnes,265
69-69081,69,69081,Écully,265
74-74012,74,74012,Annemasse,265
31-31395,31,31395,Muret,264
92-92040,92,92040,Issy-les-Moulineaux,264
60-60159,60,60159,Compiègne,262
61-61001,61,61001,Alençon,261
91-91228,91,91228,Évry,259
33-33056,33,33056,Blanquefort,259
42-42207,42,42207,Saint-Chamond,258
57-57227,57,57227,Forbach,258
76-76484,76,76484,Oissel,257
18-18205,18,18205,Saint-Doulchard,256
69-69286,69,69286,Rillieux-la-Pape,256
33-33013,33,33013,Artigues-près-Bordeaux,256
45-45089,45,45089,Chécy,255
92-92036,92,92036,Gennevilliers,255
91-91477,91,91477,Palaiseau,254
94-94068,94,94068,Saint-Maur-des-Fossés,254
64-64125,64,64125,Bidart,253
31-31149,31,31149,Colomiers,253
44-44151,44,44151,Saint-André-des-Eaux,252
38-38553,38,38553,Villefontaine,250
83-83126,83,83126,Seyne-sur-Mer,250
69-69029,69,69029,Bron,247
93-93048,93,93048,Montreuil,247
44-44089,44,44089,Malville,247
14-14333,14,14333,Honfleur,247
44-44077,44,44077,Joué-sur-Erdre,246
65-65286,65,65286,Lourdes,245
64-64160,64,64160,Cambo-les-Bains,244
06-06095,06,06095,Peymeinade,244
91-91223,91,91223,Étampes,244
10-10333,10,10333,Saint-André-les-Vergers,244
63-63300,63,63300,Riom,243
59-59650,59,59650,Wattrelos,243
78-78517,78,78517,Rambouillet,243
44-44082,44,44082,Ligné,242
29-29046,29,29046,Douarnenez,242
38-38193,38,38193,Isle-d'Abeau,242
85-85051,85,85051,Chantonnay,242
06-06157,06,06157,Vence,241
59-59122,59,59122,Cambrai,241
76-76108,76,76108,Bois-Guillaume,241
04-04070,04,04070,Digne-les-Bains,240
74-74225,74,74225,Rumilly,240
13-13047,13,13047,Istres,239
33-33192,33,33192,Gradignan,238
44-44069,44,44069,Guérande,238
22-22093,22,22093,Lamballe,238
38-38229,38,38229,Meylan,237
33-33162,33,33162,Eysines,237
44-44096,44,44096,Mésanger,236
49-49345,49,49345,Bellevigne-en-Layon,236
45-45075,45,45075,Chapelle-Saint-Mesmin,235
85-85047,85,85047,Challans,235
44-44156,44,44156,Corcoué-sur-Logne,234
44-44192,44,44192,Saint-Viaud,234
14-14341,14,14341,Ifs,234
44-44145,44,44145,Rouans,233
44-44061,44,44061,Frossay,232
13-13071,13,13071,Pennes-Mirabeau,232
49-49069,49,49069,Orée d'Anjou,231
92-92062,92,92062,Puteaux,231
78-78172,78,78172,Conflans-Sainte-Honorine,231
06-06030,06,06030,Cannet,231
61-61169,61,61169,Flers,230
92-92048,92,92048,Meudon,230
92-92023,92,92023,Clamart,229
53-53054,53,53054,Changé,229
73-73010,73,73010,Entrelacs,228
33-33376,33,33376,Saint-Aubin-de-Médoc,228
42-42187,42,42187,Roanne,228
44-44186,44,44186,Sainte-Pazanne,227
76-76341,76,76341,Harfleur,226
44-44137,44,44137,Prinquiau,226
22-22277,22,22277,Saint-Brandan,226
52-52448,52,52448,Saint-Dizier,225
56-56243,56,56243,Séné,225
35-35281,35,35281,Saint-Jacques-de-la-Lande,225
69-69204,69,69204,Saint-Genis-Laval,225
77-77288,77,77288,Melun,225
64-64140,64,64140,Boucau,225
84-84087,84,84087,Orange,224
47-47238,47,47238,Sainte-Colombe-en-Bruilhois,222
78-78586,78,78586,Sartrouville,222
94-94071,94,94071,Sucy-en-Brie,221
78-78551,78,78551,Saint-Germain-en-Laye,220
92-92025,92,92025,Colombes,220
06-06090,06,06090,Pégomas,219
31-31044,31,31044,Balma,219
44-44102,44,44102,Montbert,218
06-06104,06,06104,Roquebrune-Cap-Martin,218
34-34108,34,34108,Frontignan,218
44-44003,44,44003,Ancenis,218
63-63164,63,63164,Gerzat,218
93-93064,93,93064,Rosny-sous-Bois,216
49-49301,49,49301,Sèvremoine,216
63-63193,63,63193,Lempdes,216
63-63069,63,63069,Cendre,216
33-33522,33,33522,Talence,216
69-69275,69,69275,Décines-Charpieu,215
52-52121,52,52121,Chaumont,215
49-49065,49,49065,Hauts d'Anjou,215
46-46102,46,46102,Figeac,214
38-38548,38,38548,Villard-de-Lans,214
69-69072,69,69072,Dardilly,213
29-29103,29,29103,Landerneau,213
06-06012,06,06012,Beausoleil,213
44-44113,44,44113,Nozay,213
94-94081,94,94081,Vitry-sur-Seine,213
83-83023,83,83023,Brignoles,212
94-94017,94,94017,Champigny-sur-Marne,212
44-44182,44,44182,Saint-Michel-Chef-Chef,212
76-76476,76,76476,Port-Jérôme-sur-Seine,212
53-53147,53,53147,Mayenne,211
78-78361,78,78361,Mantes-la-Jolie,211
77-77294,77,77294,Mitry-Mory,211
29-29234,29,29234,Rédené,210
29-29061,29,29061,Gouesnou,210
44-44030,44,44030,Chapelle-des-Marais,210
38-38001,38,38001,Abrets en Dauphiné,210
36-36063,36,36063,Déols,209
95-95572,95,95572,Saint-Ouen-l'Aumône,209
06-06033,06,06033,Carros,208
47-47209,47,47209,Pont-du-Casse,208
85-85003,85,85003,Aizenay,208
10-10343,10,10343,Saint-Julien-les-Villas,207
44-44014,44,44014,Bignon,207
59-59606,59,59606,Valenciennes,207
29-29235,29,29235,Relecq-Kerhuon,206
44-44050,44,44050,Crossac,206
49-49200,49,49200,Longuenée-en-Anjou,206
44-44152,44,44152,Sainte-Anne-sur-Brivet,206
35-35047,35,35047,Bruz,206
16-16113,16,16113,Couronne,205
29-29031,29,29031,Clohars-Carnoët,205
25-25388,25,25388,Montbéliard,204
49-49092,49,49092,Chemillé-en-Anjou,204
71-71076,71,71076,Chalon-sur-Saône,204
93-93029,93,93029,Drancy,204
22-22360,22,22360,Trégueux,203
39-39300,39,39300,Lons-le-Saunier,203
44-44057,44,44057,Fégréac,203
56-56179,56,56179,Pont-Scorff,203
49-49244,49,49244,Mauges-sur-Loire,203
93-93007,93,93007,Blanc-Mesnil,203
44-44054,44,44054,Erbray,203
44-44051,44,44051,Derval,202
30-30243,30,30243,Saint-Christol-lès-Alès,202
93-93001,93,93001,Aubervilliers,202
06-06155,06,06155,Vallauris,201
74-74208,74,74208,Passy,200
76-76319,76,76319,Grand-Couronne,200
37-37156,37,37156,Montlouis-sur-Loire,200
49-49367,49,49367,Erdre-en-Anjou,200
77-77284,77,77284,Meaux,200
94-94033,94,94033,Fontenay-sous-Bois,199
28-28229,28,28229,Mainvilliers,199
76-76498,76,76498,Petit-Quevilly,199
76-76640,76,76640,Saint-Pierre-lès-Elbeuf,199
69-69244,69,69244,Tassin-la-Demi-Lune,199
78-78498,78,78498,Poissy,199
29-29212,29,29212,Plouzané,198
76-76259,76,76259,Fécamp,197
35-35278,35,35278,Saint-Grégoire,197
73-73128,73,73128,Grésy-sur-Aix,197
22-22081,22,22081,Hillion,196
76-76212,76,76212,Darnétal,196
44-44155,44,44155,Saint-Colomban,196
76-76222,76,76222,Duclair,196
44-44205,44,44205,Touches,196
69-69202,69,69202,Sainte-Foy-lès-Lyon,194
93-93078,93,93078,Villepinte,194
44-44033,44,44033,Chapelle-Launay,194
44-44111,44,44111,Notre-Dame-des-Landes,194
62-62498,62,62498,Lens,193
56-56089,56,56089,Inguiniel,192
03-03190,03,03190,Moulins,192
38-38343,38,38343,Romagnieu,192
57-57630,57,57630,Sarrebourg,192
54-54578,54,54578,Villers-lès-Nancy,192
49-49183,49,49183,Val d'Erdre-Auxence,192
38-38421,38,38421,Saint-Martin-d'Hères,192
78-78423,78,78423,Montigny-le-Bretonneux,192
06-06079,06,06079,Mandelieu-la-Napoule,191
38-38239,38,38239,Moirans,191
27-27056,27,27056,Bernay,191
44-44009,44,44009,Basse-Goulaine,191
14-14431,14,14431,Mézidon Vallée d'Auge,190
83-83062,83,83062,Garde,190
78-78621,78,78621,Trappes,190
44-44204,44,44204,Thouaré-sur-Loire,190
38-38386,38,38386,Saint-Geoire-en-Valdaine,190
91-91549,91,91549,Sainte-Geneviève-des-Bois,189
44-44071,44,44071,Haute-Goulaine,189
40-40279,40,40279,Saint-Paul-lès-Dax,189
62-62427,62,62427,Hénin-Beaumont,189
31-31557,31,31557,Tournefeuille,188
44-44197,44,44197,Sion-les-Mines,188
93-93008,93,93008,Bobigny,188
06-06159,06,06159,Villefranche-sur-Mer,188
33-33032,33,33032,Bassens,188
44-44038,44,44038,Chauvé,188
44-44048,44,44048,Couffé,188
03-03310,03,03310,Vichy,188
44-44172,44,44172,Sainte-Luce-sur-Loire,188
56-56107,56,56107,Larmor-Plage,188
14-14167,14,14167,Colombelles,187
95-95280,95,95280,Goussainville,187
93-93010,93,93010,Bondy,187
33-33039,33,33039,Bègles,187
29-29241,29,29241,Rosporden,186
44-44119,44,44119,Paulx,186
05-05023,05,05023,Briançon,186
38-38374,38,38374,Saint-Chef,186
78-78440,78,78440,Mureaux,186
73-73051,73,73051,Bourget-du-Lac,185
76-76216,76,76216,Déville-lès-Rouen,185
85-85096,85,85096,Garnache,184
10-10362,10,10362,Sainte-Savine,184
95-95585,95,95585,Sarcelles,184
93-93051,93,93051,Noisy-le-Grand,184
44-44133,44,44133,Port-Saint-Père,184
29-29004,29,29004,Bannalec,183
44-44161,44,44161,Saint-Gildas-des-Bois,183
28-28220,28,28220,Luisant,183
33-33069,33,33069,Bouscat,183
44-44043,44,44043,Clisson,183
76-76178,76,76178,Cléon,183
85-85065,85,85065,Chavagnes-en-Paillers,182
28-28348,28,28348,Saint-Lubin-des-Joncherets,182
91-91027,91,91027,Athis-Mons,182
85-85129,85,85129,Lucs-sur-Boulogne,181
33-33519,33,33519,Taillan-Médoc,181
91-91471,91,91471,Orsay,181
39-39198,39,39198,Dole,181
44-44163,44,44163,Vair-sur-Loire,180
13-13002,13,13002,Allauch,180
44-44064,44,44064,Gorges,180
76-76410,76,76410,Maromme,180
02-02168,02,02168,Château-Thierry,180
63-63308,63,63308,Royat,180
44-44037,44,44037,Château-Thébaud,180
69-69091,69,69091,Givors,180
79-79049,79,79049,Bressuire,180
45-45286,45,45286,Saint-Jean-le-Blanc,180
06-06108,06,06108,Roquette-sur-Siagne,179
56-56026,56,56026,Bubry,179
85-85034,85,85034,Bournezeau,179
95-95306,95,95306,Herblay,179
94-94046,94,94046,Maisons-Alfort,179
78-78490,78,78490,Plaisir,179
69-69277,69,69277,Genas,179
35-35360,35,35360,Vitré,179
10-10325,10,10325,Rosières-près-Troyes,178
22-22162,22,22162,Paimpol,178
92-92004,92,92004,Asnières-sur-Seine,178
62-62178,62,62178,Bruay-la-Buissière,178
93-93055,93,93055,Pantin,177
31-31069,31,31069,Blagnac,177
24-24053,24,24053,Boulazac Isle Manoire,177
53-53062,53,53062,Château-Gontier,177
49-49194,49,49194,Mazé-Milon,176
44-44046,44,44046,Corsept,176
85-85031,85,85031,Boupère,176
95-95277,95,95277,Gonesse,176
56-56206,56,56206,Saint-Avé,176
13-13014,13,13014,Berre-l'Étang,175
37-37018,37,37018,Ballan-Miré,175
55-55029,55,55029,Bar-le-Duc,174
14-14047,14,14047,Bayeux,174
76-76165,76,76165,Caudebec-lès-Elbeuf,174
12-12202,12,12202,Rodez,174
28-28386,28,28386,Thimert-Gâtelles,174
61-61006,61,61006,Argentan,174
38-38095,38,38095,Chatte,174
49-49220,49,49220,Morannes sur Sarthe-Daumeray,173
93-93071,93,93071,Sevran,173
76-76475,76,76475,Franqueville-Saint-Pierre,172
38-38565,38,38565,Voreppe,172
59-59017,59,59017,Armentières,171
62-62510,62,62510,Liévin,171
37-37273,37,37273,Ville-aux-Dames,171
59-59172,59,59172,Denain,171
76-76758,76,76758,Yvetot,171
33-33004,33,33004,Ambès,171
76-76474,76,76474,Notre-Dame-de-Bondeville,171
76-76378,76,76378,Jumièges,171
76-76114,76,76114,Bolbec,170
84-84089,84,84089,Pertuis,170
45-45298,45,45298,Saint-Pryvé-Saint-Mesmin,170
51-51230,51,51230,Épernay,170
56-56069,56,56069,Groix,170
33-33119,33,33119,Cenon,170
46-46042,46,46042,Cahors,170
62-62645,62,62645,Oye-Plage,170
37-37015,37,37015,Azay-sur-Cher,170
49-49023,49,49023,Beaupréau-en-Mauges,169
54-54528,54,54528,Toul,169
69-69194,69,69194,Saint-Didier-au-Mont-d'Or,169
44-44018,44,44018,Bouaye,168
01-01160,01,01160,Ferney-Voltaire,168
44-44199,44,44199,Soudan,168
44-44126,44,44126,Plaine-sur-Mer,168
47-47019,47,47019,Bajamont,168
78-78297,78,78297,Guyancourt,168
44-44146,44,44146,Rougé,167
31-31561,31,31561,Union,166
07-07186,07,07186,Privas,166
13-13054,13,13054,Marignane,166
92-92026,92,92026,Courbevoie,166
94-94076,94,94076,Villejuif,166
16-16358,16,16358,Saint-Yrieix-sur-Charente,166
16-16102,16,16102,Cognac,166
44-44127,44,44127,Planche,166
56-56007,56,56007,Auray,166
78-78640,78,78640,Vélizy-Villacoublay,165
35-35210,35,35210,Pacé,165
74-74243,74,74243,Saint-Julien-en-Genevois,165
74-74081,74,74081,Cluses,165
06-06140,06,06140,Tignet,164
33-33075,33,33075,Bruges,164
06-06161,06,06161,Villeneuve-Loubet,164
44-44178,44,44178,Saint-Mars-de-Coutais,164
14-14371,14,14371,Livarot-Pays-d'Auge,164
50-50502,50,50502,Saint-Lô,163
64-64348,64,64348,Lons,163
76-76705,76,76705,Tourville-la-Rivière,163
95-95176,95,95176,Cormeilles-en-Parisis,163
49-49323,49,49323,Verrières-en-Anjou,163
57-57306,57,57306,Hayange,163
35-35024,35,35024,Betton,163
02-02408,02,02408,Laon,163
38-38449,38,38449,Saint-Quentin-Fallavier,162
44-44214,44,44214,Vay,162
13-13106,13,13106,Septèmes-les-Vallons,162
44-44007,44,44007,Avessac,162
13-13063,13,13063,Miramas,162
38-38236,38,38236,Miribel-les-Échelles,162
69-69283,69,69283,Mions,162
38-38249,38,38249,Montbonnot-Saint-Martin,162
67-67067,67,67067,Brumath,162
44-44083,44,44083,Limouzinière,162
73-73257,73,73257,Belleville,161
76-76618,76,76618,Petit-Caux,161
14-14654,14,14654,Saint-Pierre-en-Auge,161
38-38442,38,38442,Saint-Pierre-de-Chartreuse,160
85-85215,85,85215,Saint-Fulgent,160
44-44176,44,44176,Saint-Malo-de-Guersac,160
44-44076,44,44076,Jans,159
49-49347,49,49347,Tiercé,159
35-35206,35,35206,Noyal-Châtillon-sur-Seiche,159
30-30259,30,30259,Saint-Hilaire-de-Brethmas,158
33-33167,33,33167,Floirac,158
44-44153,44,44153,Saint-Aubin-des-Châteaux,158
