code_dept_commune,code_departement,code_commune_INSEE,nom_commune,nb_arrets
49-49060,49,49060,Chacé,11
76-76632,76,76632,Saint-Pierre-Bénouville,11
87-87150,87,87150,Saint-Hilaire-les-Places,11
11-11296,11,11296,Pouzols-Minervois,11
30-30138,30,30138,Langlade,11
77-77232,77,77232,Isles-lès-Villenoy,11
65-65304,65,65304,Maubourguet,11
34-34185,34,34185,Notre-Dame-de-Londres,11
35-35333,35,35333,Theil-de-Bretagne,11
30-30126,30,30126,Garrigues-Sainte-Eulalie,11
90-90090,90,90090,Saint-Dizier-l'Évêque,11
60-60358,60,60358,Lévignen,11
72-72331,72,72331,Sceaux-sur-Huisne,11
49-49038,49,49038,Bourg-l'Évêque,11
31-31516,31,31516,Saint-Sauveur,11
59-59093,59,59093,Boulogne-sur-Helpe,11
59-59042,59,59042,Bachy,11
27-27249,27,27249,Fontaine-Bellenger,11
02-02787,02,02787,Verneuil-sur-Serre,11
30-30109,30,30109,Euzet,11
79-79134,79,79134,Glénay,11
21-21005,21,21005,Aiserey,11
27-27623,27,27623,Surtauville,11
22-22368,22,22368,Tréméreuc,11
77-77248,77,77248,Lesches,11
34-34182,34,34182,Nézignan-l'Évêque,11
30-30135,30,30135,Jonquières-Saint-Vincent,11
89-89399,89,89399,Soucy,11
59-59106,59,59106,Bouvines,11
29-29302,29,29302,Pont-de-Buis-lès-Quimerch,11
79-79008,79,79008,Amailloux,11
72-72087,72,72087,Conflans-sur-Anille,11
95-95491,95,95491,Plessis-Bouchard,11
76-76271,76,76271,Fontaine-le-Bourg,11
22-22286,22,22286,Saint-Denoual,11
57-57615,57,57615,Saint-Jean-Rohrbach,11
02-02559,02,02559,Nouvion-et-Catillon,11
60-60539,60,60539,Rieux,11
77-77279,77,77279,Marolles-sur-Seine,11
62-62813,62,62813,Thieuloye,11
72-72347,72,72347,Tassé,11
91-91393,91,91393,Mérobert,11
62-62513,62,62513,Ligny-sur-Canche,11
2B-2B123,2B,2B123,Ghisonaccia,11
68-68263,68,68263,Ranspach-le-Bas,11
59-59371,59,59371,Maisnil,11
05-05087,05,05087,Montmaur,11
05-05014,05,05014,Barret-sur-Méouge,11
66-66125,66,66125,Olette,11
